,accuracy,dummy accuracy
624,0.59375,0.65625
625,0.6875,0.71875
626,0.65625,0.625
627,0.65625,0.625
628,0.71875,0.6875
629,0.65625,0.65625
630,0.5625,0.75
631,0.65625,0.71875
632,0.59375,0.53125
633,0.5,0.75
634,0.59375,0.71875
635,0.625,0.65625
636,0.53125,0.59375
637,0.5,0.5
638,0.6875,0.59375
639,0.65625,0.6875
640,0.625,0.59375
641,0.65625,0.625
642,0.625,0.59375
643,0.6875,0.625
644,0.6875,0.625
645,0.65625,0.65625
646,0.65625,0.65625
647,0.6875,0.625
648,0.625,0.625
649,0.5625,0.625
650,0.59375,0.5625
651,0.625,0.5625
652,0.59375,0.59375
653,0.6875,0.6875
654,0.5,0.46875
655,0.59375,0.65625
656,0.625,0.625
657,0.53125,0.46875
658,0.5,0.46875
659,0.625,0.65625
660,0.53125,0.5
661,0.625,0.6875
662,0.65625,0.625
663,0.65625,0.6875
664,0.625,0.65625
665,0.59375,0.5625
666,0.53125,0.53125
667,0.5625,0.59375
668,0.6875,0.71875
669,0.59375,0.59375
670,0.53125,0.5
671,0.65625,0.71875
672,0.46875,0.59375
673,0.59375,0.5625
674,0.6875,0.65625
675,0.59375,0.53125
676,0.59375,0.6875
677,0.59375,0.53125
678,0.65625,0.59375
679,0.53125,0.5625
680,0.625,0.59375
681,0.625,0.625
682,0.53125,0.625
683,0.6875,0.71875
684,0.5625,0.59375
685,0.625,0.6875
686,0.59375,0.625
687,0.625,0.65625
688,0.625,0.65625
689,0.5,0.625
690,0.71875,0.6875
691,0.59375,0.59375
692,0.5625,0.59375
693,0.6875,0.625
694,0.5625,0.5625
695,0.6875,0.6875
696,0.6875,0.75
697,0.53125,0.5625
698,0.5625,0.8125
699,0.59375,0.5625
700,0.71875,0.6875
701,0.625,0.6875
702,0.625,0.59375
703,0.625,0.625
704,0.65625,0.65625
705,0.5625,0.625
706,0.65625,0.65625
707,0.65625,0.6875
708,0.59375,0.53125
709,0.59375,0.5625
710,0.625,0.65625
711,0.5625,0.5625
712,0.625,0.625
713,0.71875,0.71875
714,0.53125,0.53125
715,0.65625,0.625
716,0.53125,0.53125
717,0.65625,0.625
718,0.625,0.6875
719,0.65625,0.59375
720,0.5625,0.5625
721,0.6875,0.71875
722,0.6875,0.625
723,0.59375,0.625
724,0.65625,0.65625
725,0.625,0.65625
726,0.5625,0.53125
727,0.53125,0.5
728,0.59375,0.65625
729,0.59375,0.625
730,0.53125,0.59375
731,0.625,0.65625
732,0.5,0.5
733,0.625,0.65625
734,0.53125,0.5
735,0.59375,0.59375
736,0.6875,0.71875
737,0.625,0.59375
738,0.59375,0.8125
739,0.59375,0.625
740,0.625,0.59375
741,0.4375,0.46875
742,0.59375,0.625
743,0.65625,0.625
744,0.5625,0.625
745,0.65625,0.65625
746,0.5,0.46875
747,0.59375,0.5625
748,0.59375,0.625
749,0.71875,0.65625
750,0.5625,0.59375
751,0.59375,0.59375
752,0.59375,0.625
753,0.625,0.65625
754,0.71875,0.71875
755,0.59375,0.625
756,0.65625,0.625
757,0.625,0.5625
758,0.65625,0.625
759,0.625,0.6875
760,0.65625,0.625
761,0.6875,0.71875
762,0.53125,0.5625
763,0.75,0.75
764,0.59375,0.5625
765,0.625,0.625
766,0.5625,0.53125
767,0.65625,0.5625
768,0.59375,0.6875
769,0.625,0.65625
770,0.65625,0.59375
771,0.59375,0.71875
772,0.5625,0.5625
773,0.5,0.4375
774,0.625,0.65625
775,0.59375,0.71875
776,0.6875,0.65625
777,0.59375,0.6875
778,0.625,0.625
779,0.53125,0.71875
780,0.53125,0.59375
781,0.625,0.59375
782,0.5625,0.5625
783,0.53125,0.5
784,0.65625,0.625
785,0.71875,0.75
786,0.65625,0.59375
787,0.625,0.65625
788,0.59375,0.59375
789,0.71875,0.6875
790,0.625,0.78125
791,0.625,0.625
792,0.59375,0.6875
793,0.5625,0.53125
794,0.625,0.65625
795,0.625,0.625
796,0.65625,0.65625
797,0.6875,0.625
798,0.65625,0.625
799,0.65625,0.625
800,0.625,0.59375
801,0.59375,0.65625
802,0.625,0.65625
803,0.625,0.625
804,0.5,0.4375
805,0.625,0.625
806,0.59375,0.625
807,0.59375,0.65625
808,0.53125,0.59375
809,0.625,0.625
810,0.625,0.5625
811,0.625,0.625
812,0.53125,0.625
813,0.5625,0.5
814,0.5625,0.59375
815,0.65625,0.71875
816,0.625,0.59375
817,0.625,0.78125
818,0.53125,0.53125
819,0.59375,0.625
820,0.6875,0.65625
821,0.59375,0.65625
822,0.65625,0.6875
823,0.625,0.59375
824,0.5625,0.5
825,0.71875,0.6875
826,0.59375,0.625
827,0.59375,0.625
828,0.5,0.46875
829,0.59375,0.53125
830,0.625,0.71875
831,0.59375,0.75
832,0.625,0.65625
833,0.65625,0.625
834,0.75,0.71875
835,0.53125,0.59375
836,0.59375,0.59375
837,0.5625,0.65625
838,0.59375,0.5625
839,0.59375,0.71875
840,0.5625,0.625
841,0.625,0.625
842,0.53125,0.625
843,0.5625,0.6875
844,0.65625,0.65625
845,0.65625,0.625
846,0.65625,0.625
847,0.59375,0.625
848,0.625,0.65625
849,0.53125,0.59375
850,0.59375,0.59375
851,0.59375,0.59375
852,0.5625,0.5625
853,0.6875,0.6875
854,0.5625,0.5
855,0.625,0.6875
856,0.59375,0.5625
857,0.625,0.75
858,0.53125,0.5625
859,0.625,0.65625
860,0.625,0.53125
861,0.59375,0.59375
862,0.59375,0.6875
863,0.625,0.59375
864,0.5625,0.53125
865,0.53125,0.5625
866,0.5,0.65625
867,0.71875,0.71875
868,0.59375,0.625
869,0.65625,0.625
870,0.65625,0.65625
871,0.5625,0.53125
872,0.6875,0.78125
873,0.625,0.65625
874,0.65625,0.6875
875,0.59375,0.78125
876,0.59375,0.5625
877,0.59375,0.59375
878,0.59375,0.6875
879,0.59375,0.65625
880,0.65625,0.65625
881,0.625,0.5625
882,0.71875,0.6875
883,0.5,0.5
884,0.625,0.59375
885,0.65625,0.65625
886,0.65625,0.625
887,0.6875,0.71875
888,0.71875,0.75
889,0.625,0.625
890,0.5625,0.59375
891,0.5625,0.53125
892,0.71875,0.65625
893,0.5,0.5625
894,0.625,0.6875
895,0.6875,0.65625
896,0.59375,0.59375
897,0.5625,0.5
898,0.71875,0.65625
899,0.59375,0.59375
900,0.53125,0.53125
901,0.53125,0.46875
902,0.6875,0.59375
903,0.53125,0.53125
904,0.65625,0.625
905,0.59375,0.71875
906,0.65625,0.71875
907,0.625,0.59375
908,0.5625,0.59375
909,0.78125,0.71875
910,0.5,0.59375
911,0.65625,0.625
912,0.46875,0.625
913,0.5625,0.65625
914,0.65625,0.65625
915,0.6875,0.625
916,0.625,0.5625
917,0.65625,0.75
918,0.65625,0.59375
919,0.5625,0.59375
920,0.53125,0.46875
921,0.75,0.6875
922,0.59375,0.65625
923,0.5625,0.5
